course_number,course_title,credit_hours,major
PSYC 235,Intro to Statistics,,"Dietetics and Nutrition, BS"
STAT 100,Statistics,,"Dietetics and Nutrition, BS"
CHEM 102& CHEM 103,General Chemistry Iand General Chemistry Lab I,4,"Dietetics and Nutrition, BS"
CHEM 104& CHEM 105,General Chemistry IIand General Chemistry Lab II,4,"Dietetics and Nutrition, BS"
MCB 100,Introductory Microbiology,3,"Dietetics and Nutrition, BS"
MCB 101,Intro Microbiology Laboratory,2,"Dietetics and Nutrition, BS"
CHEM 232,Elementary Organic Chemistry I (Pre-req CHEM 104 & CHEM 105),34,"Dietetics and Nutrition, BS"
CHEM 233,"Elementary Organic Chem Lab I (Pre-req CHEM 104, CHEM 105, and CHEM 232)",2,"Dietetics and Nutrition, BS"
MCB 244,Human Anatomy & Physiology I,3,"Dietetics and Nutrition, BS"
MCB 246,Human Anatomy & Physiology II,3,"Dietetics and Nutrition, BS"
HDFS 105,Intro to Human Development,3,"Dietetics and Nutrition, BS"
ANTH 101,Introduction to Anthropology,,"Dietetics and Nutrition, BS"
ANTH 102,Human Origins and Culture,,"Dietetics and Nutrition, BS"
ANTH 103,Anthro in a Changing World,,"Dietetics and Nutrition, BS"
ANTH 209,"Food, Culture, and Society",,"Dietetics and Nutrition, BS"
HDFS 220,Families in Global Perspective,,"Dietetics and Nutrition, BS"
PSYC 100,Intro Psych,,"Dietetics and Nutrition, BS"
SOC 100,Introduction to Sociology,,"Dietetics and Nutrition, BS"
ACES 101,Contemporary Issues in ACES,2,"Dietetics and Nutrition, BS"
FSHN 101,The Science of Food and How it Relates to You,3,"Dietetics and Nutrition, BS"
FSHN 150,Introduction to Dietetics,1,"Dietetics and Nutrition, BS"
ACE 100,Introduction to Applied Microeconomics,4,"Dietetics and Nutrition, BS"
FSHN 220,Principles of Nutrition,4,"Dietetics and Nutrition, BS"
FSHN 232,Science of Food Preparation,3,"Dietetics and Nutrition, BS"
FSHN 249,Food Service Sanitation,1,"Dietetics and Nutrition, BS"
FSHN 322,Nutrition and the Life Cycle,3,"Dietetics and Nutrition, BS"
FSHN 329,Communication in Nutrition,3,"Dietetics and Nutrition, BS"
FSHN 340,Food Production and Service,4,"Dietetics and Nutrition, BS"
FSHN 345,Strategic Operations Management,3,"Dietetics and Nutrition, BS"
FSHN 420,Nutritional Aspects of Disease,3,"Dietetics and Nutrition, BS"
FSHN 426,Biochemical Nutrition I,3,"Dietetics and Nutrition, BS"
FSHN 427,Biochemical Nutrition II,3,"Dietetics and Nutrition, BS"
FSHN 428,Community Nutrition,3,"Dietetics and Nutrition, BS"
FSHN 429,Nutrition Assessment & Therapy,3,"Dietetics and Nutrition, BS"
FSHN 450,Dietetics: Professional Issues,2,"Dietetics and Nutrition, BS"
FSHN 459,Nutrition Focused Physical Assessment,2,"Dietetics and Nutrition, BS"
BIOC 455,Technqs Biochem & Biotech,,"Dietetics and Nutrition, BS"
CHLH 300-400,Any 300 or 400 level CHLH Course 1,,"Dietetics and Nutrition, BS"
FSHN 300-400,Any 300 or 400 level FSHN Course 1,,"Dietetics and Nutrition, BS"
HDFS 300-400,Any 300 or 400 level HDFS Course 1,,"Dietetics and Nutrition, BS"
KIN 300-400,Any 300 or 400 level KIN Course 1,,"Dietetics and Nutrition, BS"
EDUC 101,Education Orientation Seminar,1,"Early Childhood Education, BS"
PSYC 100,"Intro Psych (Recommended course, a prerequisite for EPSY 201)",,"Early Childhood Education, BS"
ART 201,Art in Early Childhood,2,"Early Childhood Education, BS"
CI 415,"Language Varieties, Cultures and Learning",3,"Early Childhood Education, BS"
CI 420,Foundations of Early Childhood Education,5,"Early Childhood Education, BS"
CI 421,Principles and Practices in Early Childhood Education,3,"Early Childhood Education, BS"
CI 422,"Families, Communities, Schools",3,"Early Childhood Education, BS"
CI 424,Child Development & Technology,3,"Early Childhood Education, BS"
CI 443,Mathematics in Early Childhood Education,3,"Early Childhood Education, BS"
CI 445,Science and Social Studies Inquiry,3,"Early Childhood Education, BS"
CI 465,Language Literacy in Early Childhood Education I,3,"Early Childhood Education, BS"
CI 466,Language Literacy in Early Childhood Education II,3,"Early Childhood Education, BS"
EDPR 420,School Access & Supports,4,"Early Childhood Education, BS"
EDPR 432,Ed Prac in EC & ELED,12,"Early Childhood Education, BS"
EDUC 201& EDUC 202,"Identity and Difference in Educationand Social Justice, School and Society",6,"Early Childhood Education, BS"
EPSY 201,Educational Psychology (PSYC 100 is the prerequisite),3,"Early Childhood Education, BS"
EPSY 401,Child Language and Education,3,"Early Childhood Education, BS"
HDFS 301,Infancy & Early Childhood,4,"Early Childhood Education, BS"
MUS 345,Mus Methods in Early Childhood,2,"Early Childhood Education, BS"
SPED 414,Assessment in Early Childhood Special Education,3,"Early Childhood Education, BS"
SPED 450,Introduction to Early Childhood Special Education,2,"Early Childhood Education, BS"
SPED 465,Curriculum and Methods in Early Childhood Special Education,3,"Early Childhood Education, BS"
ENG 100,Grainger Engineering Orientation Seminar (External transfer students take ENG 300 instead.),1,"Electrical Engineering, BS"
CHEM 102,General Chemistry I,3,"Electrical Engineering, BS"
CHEM 103,General Chemistry Lab I,1,"Electrical Engineering, BS"
MATH 221,Calculus I (MATH 220 may be substituted. MATH 220 is appropriate for students with no background in calculus. 4 of 5 credit hours count towards degree.),4,"Electrical Engineering, BS"
MATH 231,Calculus II,3,"Electrical Engineering, BS"
MATH 241,Calculus III,4,"Electrical Engineering, BS"
MATH 257,Linear Algebra with Computational Applications,3,"Electrical Engineering, BS"
MATH 285,Intro Differential Equations,3,"Electrical Engineering, BS"
PHYS 211,University Physics: Mechanics,4,"Electrical Engineering, BS"
PHYS 212,University Physics: Elec & Mag,4,"Electrical Engineering, BS"
PHYS 213,Univ Physics: Thermal Physics,2,"Electrical Engineering, BS"
PHYS 214,Univ Physics: Quantum Physics,2,"Electrical Engineering, BS"
ECE 110,Introduction to Electronics,3,"Electrical Engineering, BS"
ECE 120,Introduction to Computing,4,"Electrical Engineering, BS"
ECE 220,Computer Systems & Programming,4,"Electrical Engineering, BS"
ECE 210,Analog Signal Processing,4,"Electrical Engineering, BS"
ECE 313,Probability with Engrg Applic (STAT 410 may be substituted.),3,"Electrical Engineering, BS"
ECE 329,Fields and Waves I,3,"Electrical Engineering, BS"
ECE 340,Semiconductor Electronics,3,"Electrical Engineering, BS"
ECE 385,Digital Systems Laboratory,3,"Electrical Engineering, BS"
ECE 445,Senior Design Project Lab (Combination of ECE 496 and ECE 499 may be substituted.),4,"Electrical Engineering, BS"
AE 202,Aerospace Flight Mechanics,3,"Electrical Engineering, BS"
AE 302,Aerospace Flight Mechanics II,3,"Electrical Engineering, BS"
AE 311,Incompressible Flow,3,"Electrical Engineering, BS"
AE 312,Compressible Flow,3,"Electrical Engineering, BS"
AE 321,Mechs of Aerospace Structures,3,"Electrical Engineering, BS"
AE 352,Aerospace Dynamical Systems,3,"Electrical Engineering, BS"
AE 353,Aerospace Control Systems,3,"Electrical Engineering, BS"
AE 402,Orbital Mechanics,34,"Electrical Engineering, BS"
AE 403,Spacecraft Attitude Control,34,"Electrical Engineering, BS"
AE 410,Computational Aerodynamics,34,"Electrical Engineering, BS"
AE 412,Viscous Flow & Heat Transfer,4,"Electrical Engineering, BS"
AE 416,Applied Aerodynamics,34,"Electrical Engineering, BS"
AE 419,Aircraft Flight Mechanics,34,"Electrical Engineering, BS"
AE 420,Finite Element Analysis,34,"Electrical Engineering, BS"
AE 428,Mechanics of Composites,3,"Electrical Engineering, BS"
AE 433,Aerospace Propulsion,34,"Electrical Engineering, BS"
AE 434,Rocket Propulsion,34,"Electrical Engineering, BS"
AE 435,Electric Space Propulsion,34,"Electrical Engineering, BS"
AE 451,Aeroelasticity,34,"Electrical Engineering, BS"
AE 460,Aerodynamics & Propulsion Lab,2,"Electrical Engineering, BS"
ASTR 210,Introduction to Astrophysics,3,"Electrical Engineering, BS"
ASTR 310,Computing in Astronomy,3,"Electrical Engineering, BS"
ASTR 330,Extraterrestrial Life,3,"Electrical Engineering, BS"
ASTR 350,"The Big Bang, Black Holes, and the End of the Universe",3,"Electrical Engineering, BS"
ASTR 404,Stellar Astrophysics,3,"Electrical Engineering, BS"
ASTR 405,Planetary Systems,3,"Electrical Engineering, BS"
ASTR 406,Galaxies and the Universe,3,"Electrical Engineering, BS"
ASTR 414,Astronomical Techniques,4,"Electrical Engineering, BS"
ATMS 201,General Physical Meteorology,3,"Electrical Engineering, BS"
ATMS 301,Atmospheric Thermodynamics,3,"Electrical Engineering, BS"
ATMS 302,Atmospheric Dynamics I,3,"Electrical Engineering, BS"
ATMS 303,Synoptic-Dynamic Wea Analysis,4,"Electrical Engineering, BS"
ATMS 304,Radiative Transfer-Remote Sens,3,"Electrical Engineering, BS"
ATMS 305,Computing and Data Analysis,3,"Electrical Engineering, BS"
ATMS 404,Risk Analysis in Earth Science,34,"Electrical Engineering, BS"
ATMS 405,Boundary Layer Processes,4,"Electrical Engineering, BS"
ATMS 406,Tropical Meteorology,4,"Electrical Engineering, BS"
ATMS 410,Radar Remote Sensing,4,"Electrical Engineering, BS"
ATMS 411,Satellite Remote Sensing,4,"Electrical Engineering, BS"
ATMS 420,Atmospheric Chemistry,4,"Electrical Engineering, BS"
ATMS 421,Earth Systems Modeling,4,"Electrical Engineering, BS"
ATMS 447,Climate Change Assessment,3,"Electrical Engineering, BS"
ATMS 449,Biogeochemical Cycles,4,"Electrical Engineering, BS"
BIOC 406,Gene Expression & Regulation,3,"Electrical Engineering, BS"
BIOC 446,Physical Biochemistry,3,"Electrical Engineering, BS"
BIOC 455,Technqs Biochem & Biotech,4,"Electrical Engineering, BS"
BIOE 201,Conservation Principles Bioeng,3,"Electrical Engineering, BS"
BIOE 202,Cell & Tissue Engineering Lab,2,"Electrical Engineering, BS"
BIOE 302,Modeling Human Physiology,3,"Electrical Engineering, BS"
BIOE 414,Biomedical Instrumentation,3,"Electrical Engineering, BS"
BIOE 415,Biomedical Instrumentation Lab,2,"Electrical Engineering, BS"
BIOE 461,Cellular Biomechanics,4,"Electrical Engineering, BS"
BIOE 467,Biophotonics,3,"Electrical Engineering, BS"
BIOE 476,Tissue Engineering,3,"Electrical Engineering, BS"
BIOE 480,Magnetic Resonance Imaging,34,"Electrical Engineering, BS"
BIOE 485,Computational Mathematics for Machine Learning and Imaging,4,"Electrical Engineering, BS"
CHBE 221,Principles of CHE,3,"Electrical Engineering, BS"
CHBE 321,Thermodynamics,4,"Electrical Engineering, BS"
CHBE 421,Momentum and Heat Transfer,4,"Electrical Engineering, BS"
CHBE 422,Mass Transfer Operations,4,"Electrical Engineering, BS"
CHBE 424,Chemical Reaction Engineering,3,"Electrical Engineering, BS"
CHBE 430,Unit Operations Laboratory,4,"Electrical Engineering, BS"
CHBE 431,Process Design,4,"Electrical Engineering, BS"
CHBE 440,Process Control and Dynamics,3,"Electrical Engineering, BS"
CHBE 451,Transport Phenomena,3,"Electrical Engineering, BS"
CHBE 452,Chemical Kinetics & Catalysis,3,"Electrical Engineering, BS"
CHBE 453,Electrochemical Engineering,23,"Electrical Engineering, BS"
CHBE 456,Polymer Science & Engineering,3,"Electrical Engineering, BS"
CHBE 471,Biochemical Engineering,34,"Electrical Engineering, BS"
CHBE 472,Techniques in Biomolecular Eng,34,"Electrical Engineering, BS"
CHBE 473,Biomolecular Engineering,34,"Electrical Engineering, BS"
CHBE 474,Metabolic Engineering,34,"Electrical Engineering, BS"
CHEM 104,General Chemistry II,3,"Electrical Engineering, BS"
CHEM 105,General Chemistry Lab II,1,"Electrical Engineering, BS"
CEE 310,Transportation Engineering,3,"Electrical Engineering, BS"
CEE 330,Environmental Engineering,3,"Electrical Engineering, BS"
CEE 408,Railroad Transportation Engrg,34,"Electrical Engineering, BS"
CEE 410,Railway Signaling & Control,34,"Electrical Engineering, BS"
CEE 416,Traffic Capacity Analysis,34,"Electrical Engineering, BS"
CEE 447,Atmospheric Chemistry,4,"Electrical Engineering, BS"
CEE 491,Decision and Risk Analysis,34,"Electrical Engineering, BS"
CPSC 265,Genetic Engineering Lab,3,"Electrical Engineering, BS"
CS 101,Intro Computing: Engrg & Sci (By Approval),3,"Electrical Engineering, BS"
CS 173,Discrete Structures,3,"Electrical Engineering, BS"
CS 225,Data Structures,4,"Electrical Engineering, BS"
CS 242,Programming Studio,3,"Electrical Engineering, BS"
CS 357,Numerical Methods I,3,"Electrical Engineering, BS"
CS 410,Text Information Systems,34,"Electrical Engineering, BS"
CS 411,Database Systems,34,"Electrical Engineering, BS"
CS 412,Introduction to Data Mining,34,"Electrical Engineering, BS"
CS 413,Intro to Combinatorics,34,"Electrical Engineering, BS"
CS 414,Multimedia Systems,34,"Electrical Engineering, BS"
CS 416,Data Visualization,34,"Electrical Engineering, BS"
CS 418,Interactive Computer Graphics,34,"Electrical Engineering, BS"
CS 419,Production Computer Graphics,34,"Electrical Engineering, BS"
CS 420,Parallel Progrmg: Sci & Engrg,34,"Electrical Engineering, BS"
CS 421,Programming Languages & Compilers,34,"Electrical Engineering, BS"
CS 422,Programming Language Design,34,"Electrical Engineering, BS"
CS 423,Operating Systems Design,34,"Electrical Engineering, BS"
CS 424,Real-Time Systems,34,"Electrical Engineering, BS"
CS 425,Distributed Systems,34,"Electrical Engineering, BS"
CS 426,Compiler Construction,34,"Electrical Engineering, BS"
CS 427,Software Engineering I,34,"Electrical Engineering, BS"
CS 428,Software Engineering II,34,"Electrical Engineering, BS"
CS 429,"Software Engineering II, ACP",3,"Electrical Engineering, BS"
CS 431,Embedded Systems,34,"Electrical Engineering, BS"
CS 433,Computer System Organization,34,"Electrical Engineering, BS"
CS 434,Real World Algorithms for IoT and Data Science,34,"Electrical Engineering, BS"
CS 435,Cloud Networking,34,"Electrical Engineering, BS"
CS 436,Computer Networking Laboratory,34,"Electrical Engineering, BS"
CS 437,Topics in Internet of Things,34,"Electrical Engineering, BS"
CS 438,Communication Networks,34,"Electrical Engineering, BS"
CS 439,Wireless Networks,34,"Electrical Engineering, BS"
CS 440,Artificial Intelligence,34,"Electrical Engineering, BS"
CS 441,Applied Machine Learning,34,"Electrical Engineering, BS"
CS 444,Deep Learning for Computer Vision,34,"Electrical Engineering, BS"
CS 445,Computational Photography,34,"Electrical Engineering, BS"
CS 446,Machine Learning,34,"Electrical Engineering, BS"
CS 447,Natural Language Processing,34,"Electrical Engineering, BS"
CS 450,Numerical Analysis,34,"Electrical Engineering, BS"
CS 460,Security Laboratory,34,"Electrical Engineering, BS"
CS 461,Computer Security I,4,"Electrical Engineering, BS"
CS 463,Computer Security II,34,"Electrical Engineering, BS"
CS 465,User Interface Design,4,"Electrical Engineering, BS"
CS 466,Introduction to Bioinformatics,34,"Electrical Engineering, BS"
CS 467,Social Visualization,34,"Electrical Engineering, BS"
CS 473,Algorithms,4,"Electrical Engineering, BS"
CS 475,Formal Models of Computation,34,"Electrical Engineering, BS"
CS 476,Program Verification,34,"Electrical Engineering, BS"
CS 477,Formal Software Development Methods,34,"Electrical Engineering, BS"
CS 481,Advanced Topics in Stochastic Processes & Applications,34,"Electrical Engineering, BS"
CS 484,Parallel Programming,34,"Electrical Engineering, BS"
CS 398,Special Topics (As Approved),14,"Electrical Engineering, BS"
CS 498,Special Topics (As Approved),14,"Electrical Engineering, BS"
ECE 297,Individual Study,1,"Electrical Engineering, BS"
ECE 304,Photonic Devices,3,"Electrical Engineering, BS"
ECE 307,Techniques for Engrg Decisions,3,"Electrical Engineering, BS"
ECE 310,Digital Signal Processing,3,"Electrical Engineering, BS"
ECE 311,Digital Signal Processing Lab,1,"Electrical Engineering, BS"
ECE 314,Probability in Engineering Lab,1,"Electrical Engineering, BS"
ECE 330,Power Ckts & Electromechanics,3,"Electrical Engineering, BS"
ECE 333,Green Electric Energy,3,"Electrical Engineering, BS"
ECE 342,Electronic Circuits,3,"Electrical Engineering, BS"
ECE 343,Electronic Circuits Laboratory,1,"Electrical Engineering, BS"
ECE 350,Fields and Waves II,3,"Electrical Engineering, BS"
ECE 365,Data Science and Engineering,3,"Electrical Engineering, BS"
ECE 374,Introduction to Algorithms & Models of Computation,4,"Electrical Engineering, BS"
ECE 380,Biomedical Imaging,3,"Electrical Engineering, BS"
ECE 391,Computer Systems Engineering,4,"Electrical Engineering, BS"
ECE 395,Advanced Digital Projects Lab,23,"Electrical Engineering, BS"
ECE 396,Honors Project,14,"Electrical Engineering, BS"
ECE 397,Individual Study in ECE,04,"Electrical Engineering, BS"
ECE 402,Electronic Music Synthesis,3,"Electrical Engineering, BS"
ECE 403,Audio Engineering,3,"Electrical Engineering, BS"
ECE 407,Cryptography,34,"Electrical Engineering, BS"
ECE 408,Applied Parallel Programming,4,"Electrical Engineering, BS"
ECE 411,Computer Organization & Design,4,"Electrical Engineering, BS"
ECE 414,Biomedical Instrumentation,3,"Electrical Engineering, BS"
ECE 415,Biomedical Instrumentation Lab,2,"Electrical Engineering, BS"
ECE 416,Biosensors,3,"Electrical Engineering, BS"
ECE 417,Multimedia Signal Processing,4,"Electrical Engineering, BS"
ECE 418,Image & Video Processing,4,"Electrical Engineering, BS"
ECE 419,Security Laboratory,34,"Electrical Engineering, BS"
ECE 420,Embedded DSP Laboratory,2,"Electrical Engineering, BS"
ECE 422,Computer Security I,4,"Electrical Engineering, BS"
ECE 424,Computer Security II,34,"Electrical Engineering, BS"
ECE 425,Intro to VLSI System Design,3,"Electrical Engineering, BS"
ECE 428,Distributed Systems,34,"Electrical Engineering, BS"
ECE 431,Electric Machinery,4,"Electrical Engineering, BS"
ECE 435,Computer Networking Laboratory,34,"Electrical Engineering, BS"
ECE 437,Sensors and Instrumentation,3,"Electrical Engineering, BS"
ECE 438,Communication Networks,34,"Electrical Engineering, BS"
ECE 439,Wireless Networks,34,"Electrical Engineering, BS"
ECE 441,Physcs & Modeling Semicond Dev,3,"Electrical Engineering, BS"
ECE 442,Silicon Photonics,34,"Electrical Engineering, BS"
ECE 443,LEDs and Solar Cells,4,"Electrical Engineering, BS"
ECE 444,IC Device Theory & Fabrication,4,"Electrical Engineering, BS"
ECE 446,Principles of Experimental Research in Electrical Engineering,4,"Electrical Engineering, BS"
ECE 447,Active Microwave Ckt Design,3,"Electrical Engineering, BS"
ECE 448,Artificial Intelligence,34,"Electrical Engineering, BS"
ECE 451,Adv Microwave Measurements,3,"Electrical Engineering, BS"
ECE 452,Electromagnetic Fields,3,"Electrical Engineering, BS"
ECE 453,Wireless Communication Systems,4,"Electrical Engineering, BS"
ECE 454,Antennas,3,"Electrical Engineering, BS"
ECE 455,Optical Electronics,34,"Electrical Engineering, BS"
ECE 456,Global Nav Satellite Systems,4,"Electrical Engineering, BS"
ECE 457,Microwave Devices & Circuits,3,"Electrical Engineering, BS"
ECE 458,Applic of Radio Wave Propag,3,"Electrical Engineering, BS"
ECE 459,Communications Systems,3,"Electrical Engineering, BS"
ECE 460,Optical Imaging,4,"Electrical Engineering, BS"
ECE 461,Digital Communications,3,"Electrical Engineering, BS"
ECE 462,Logic Synthesis,3,"Electrical Engineering, BS"
ECE 463,Digital Communications Lab,2,"Electrical Engineering, BS"
ECE 464,Power Electronics,3,"Electrical Engineering, BS"
ECE 465,Optical Communications Systems,3,"Electrical Engineering, BS"
ECE 466,Optical Communications Lab,1,"Electrical Engineering, BS"
ECE 467,Biophotonics,3,"Electrical Engineering, BS"
ECE 468,Optical Remote Sensing,3,"Electrical Engineering, BS"
ECE 469,Power Electronics Laboratory,2,"Electrical Engineering, BS"
ECE 470,Introduction to Robotics,4,"Electrical Engineering, BS"
ECE 472,Biomedical Ultrasound Imaging,3,"Electrical Engineering, BS"
ECE 473,Fund of Engrg Acoustics,34,"Electrical Engineering, BS"
ECE 476,Power System Analysis,3,"Electrical Engineering, BS"
ECE 478,Formal Software Development Methods,34,"Electrical Engineering, BS"
ECE 479,IoT and Cognitive Computing,4,"Electrical Engineering, BS"
ECE 480,Magnetic Resonance Imaging,34,"Electrical Engineering, BS"
ECE 481,Nanotechnology,4,"Electrical Engineering, BS"
ECE 482,Digital IC Design,3,"Electrical Engineering, BS"
ECE 483,Analog IC Design,3,"Electrical Engineering, BS"
ECE 484,Principles of Safe Autonomy,4,"Electrical Engineering, BS"
ECE 486,Control Systems,4,"Electrical Engineering, BS"
ECE 487,Intro Quantum Electr for EEs,3,"Electrical Engineering, BS"
ECE 488,Compound Semicond & Devices,3,"Electrical Engineering, BS"
ECE 489,Robot Dynamics and Control,4,"Electrical Engineering, BS"
ECE 490,Introduction to Optimization,34,"Electrical Engineering, BS"
ECE 491,Numerical Analysis,34,"Electrical Engineering, BS"
ECE 492,Parallel Progrmg: Sci & Engrg,34,"Electrical Engineering, BS"
ECE 493,Advanced Engineering Math,34,"Electrical Engineering, BS"
ECE 495,Photonic Device Laboratory,3,"Electrical Engineering, BS"
ECE 298,Special Topics (As approved),14,"Electrical Engineering, BS"
ECE 398,Special Topics in ECE (As approved),04,"Electrical Engineering, BS"
ECE 498,Special Topics in ECE (As approved),04,"Electrical Engineering, BS"
ENG 491,"Interdisciplinary Design Proj (CubeSat, Solar Decathlon, Formula SAE, Baja SAE, or by Approval.)",14,"Electrical Engineering, BS"
GEOL 107,Physical Geology,4,"Electrical Engineering, BS"
GEOL 208,History of the Earth System,4,"Electrical Engineering, BS"
GEOL 333,Earth Materials and the Env,4,"Electrical Engineering, BS"
GEOL 380,Environmental Geology,4,"Electrical Engineering, BS"
GEOL 411,Structural Geol and Tectonics,4,"Electrical Engineering, BS"
GEOL 417,"Geol Field Methods, Western US",6,"Electrical Engineering, BS"
GEOL 432,Mineralogy and Mineral Optics,4,"Electrical Engineering, BS"
GEOL 436,Petrology and Petrography,4,"Electrical Engineering, BS"
GEOL 440,Sedimentology and Stratigraphy,4,"Electrical Engineering, BS"
GEOL 450,Investigating the Earth’s Interior,3,"Electrical Engineering, BS"
GEOL 452,Introduction to Geophysics,4,"Electrical Engineering, BS"
GEOL 460,Geochemistry,3,"Electrical Engineering, BS"
IE 310,Deterministic Models in Optimization,3,"Electrical Engineering, BS"
IE 330,Industrial Quality Control,3,"Electrical Engineering, BS"
IE 360,Facilities Planning and Design,3,"Electrical Engineering, BS"
IE 361,Production Planning & Control,3,"Electrical Engineering, BS"
IE 400,Design & Anlys of Experiments,34,"Electrical Engineering, BS"
IE 410,Advanced Topics in Stochastic Processes & Applications,34,"Electrical Engineering, BS"
IE 411,Optimization of Large Systems,34,"Electrical Engineering, BS"
IE 412,OR Models for Mfg Systems,34,"Electrical Engineering, BS"
IE 413,Simulation,34,"Electrical Engineering, BS"
IE 420,Financial Engineering,34,"Electrical Engineering, BS"
IE 430,Economic Found of Quality Syst,34,"Electrical Engineering, BS"
IE 431,Design for Six Sigma,3,"Electrical Engineering, BS"
IB 150,Organismal & Evolutionary Biol,4,"Electrical Engineering, BS"
IB 202,Physiology,34,"Electrical Engineering, BS"
IB 203,Ecology,4,"Electrical Engineering, BS"
IB 204,Genetics,34,"Electrical Engineering, BS"
IB 302,Evolution,4,"Electrical Engineering, BS"
IB 348,Fish and Wildlife Ecology,3,"Electrical Engineering, BS"
IB 368,Vertebrate Natural History,4,"Electrical Engineering, BS"
IB 401,Introduction to Entomology,34,"Electrical Engineering, BS"
IB 405,Evolution of Traits and Genomes,3,"Electrical Engineering, BS"
IB 420,Plant Physiology,3,"Electrical Engineering, BS"
IB 421,Photosynthesis,3,"Electrical Engineering, BS"
IB 426,Env and Evol Physl of Animals,3,"Electrical Engineering, BS"
IB 431,Behavioral Ecology,3,"Electrical Engineering, BS"
IB 432,Genes and Behavior,3,"Electrical Engineering, BS"
IB 440,Plants and Global Change,3,"Electrical Engineering, BS"
IB 444,Insect Ecology,34,"Electrical Engineering, BS"
IB 451,Conservation Biology,4,"Electrical Engineering, BS"
IB 452,Ecosystem Ecology,3,"Electrical Engineering, BS"
IB 453,Community Ecology,3,"Electrical Engineering, BS"
IB 461,Ornithology,4,"Electrical Engineering, BS"
IB 462,Mammalogy,4,"Electrical Engineering, BS"
IB 463,Ichthyology,4,"Electrical Engineering, BS"
IB 464,Herpetology,4,"Electrical Engineering, BS"
IB 467,Principles of Systematics,4,"Electrical Engineering, BS"
IB 468,Insect Classification and Evol,4,"Electrical Engineering, BS"
IB 471,Fungal Diversity and Ecology,4,"Electrical Engineering, BS"
IB 481,Vector-borne Diseases,4,"Electrical Engineering, BS"
IB 482,Insect Pest Management,3,"Electrical Engineering, BS"
LING 300,Anat & Physiol Spch Mechanism,4,"Electrical Engineering, BS"
LING 406,Introduction to Computational Linguistics,34,"Electrical Engineering, BS"
LING 407,Logic and Linguistic Analysis,34,"Electrical Engineering, BS"
LING 427,Language and the Brain,34,"Electrical Engineering, BS"
MSE 280,Engineering Materials,3,"Electrical Engineering, BS"
MATH 213,Basic Discrete Mathematics,3,"Electrical Engineering, BS"
MATH 347,Fundamental Mathematics,3,"Electrical Engineering, BS"
MATH 357,Numerical Methods I,3,"Electrical Engineering, BS"
MATH 402,Non Euclidean Geometry,34,"Electrical Engineering, BS"
MATH 403,Euclidean Geometry,34,"Electrical Engineering, BS"
MATH 412,Graph Theory,34,"Electrical Engineering, BS"
MATH 413,Intro to Combinatorics,34,"Electrical Engineering, BS"
MATH 414,Mathematical Logic,34,"Electrical Engineering, BS"
MATH 417,Intro to Abstract Algebra,34,"Electrical Engineering, BS"
MATH 418,Intro to Abstract Algebra II,34,"Electrical Engineering, BS"
MATH 423,Differential Geometry,34,"Electrical Engineering, BS"
MATH 424,Honors Real Analysis,3,"Electrical Engineering, BS"
MATH 425,Honors Advanced Analysis,3,"Electrical Engineering, BS"
MATH 427,Honors Abstract Algebra,3,"Electrical Engineering, BS"
MATH 428,Honors Topics in Mathematics,3,"Electrical Engineering, BS"
MATH 432,Set Theory and Topology,34,"Electrical Engineering, BS"
MATH 442,Intro Partial Diff Equations,34,"Electrical Engineering, BS"
MATH 444,Elementary Real Analysis,34,"Electrical Engineering, BS"
MATH 446,Applied Complex Variables,34,"Electrical Engineering, BS"
MATH 447,Real Variables,34,"Electrical Engineering, BS"
MATH 448,Complex Variables,34,"Electrical Engineering, BS"
MATH 450,Numerical Analysis,34,"Electrical Engineering, BS"
MATH 453,Number Theory,34,"Electrical Engineering, BS"
MATH 473,Algorithms,4,"Electrical Engineering, BS"
MATH 475,Formal Models of Computation,34,"Electrical Engineering, BS"
MATH 481,Vector and Tensor Analysis,34,"Electrical Engineering, BS"
MATH 482,Linear Programming,34,"Electrical Engineering, BS"
MATH 484,Nonlinear Programming,34,"Electrical Engineering, BS"
MATH 487,Advanced Engineering Math,34,"Electrical Engineering, BS"
MATH 489,Dynamics & Differential Eqns,34,"Electrical Engineering, BS"
MCB 150,Molec & Cellular Basis of Life,4,"Electrical Engineering, BS"
MCB 250,Molecular Genetics,3,"Electrical Engineering, BS"
MCB 251,Exp Techniqs in Molecular Biol,2,"Electrical Engineering, BS"
MCB 252,"Cells, Tissues & Development",3,"Electrical Engineering, BS"
MCB 253,Exp Techniqs in Cellular Biol,2,"Electrical Engineering, BS"
MCB 300,Microbiology,3,"Electrical Engineering, BS"
MCB 301,Experimental Microbiology,3,"Electrical Engineering, BS"
MCB 314,Introduction to Neurobiology,3,"Electrical Engineering, BS"
MCB 316,Genetics and Disease,4,"Electrical Engineering, BS"
MCB 354,Biochem & Phys Basis of Life,3,"Electrical Engineering, BS"
MCB 400,Cancer Cell Biology,3,"Electrical Engineering, BS"
MCB 401,Cellular Physiology,3,"Electrical Engineering, BS"
MCB 402,Sys & Integrative Physiology,3,"Electrical Engineering, BS"
MCB 406,Gene Expression & Regulation,3,"Electrical Engineering, BS"
MCB 408,Immunology,3,"Electrical Engineering, BS"
MCB 410,"Developmental Biology, Stem Cells and Regenerative Medicine",3,"Electrical Engineering, BS"
MCB 413,Endocrinology,3,"Electrical Engineering, BS"
